timeCounter;accXFilt;accYFilt;accZ;trackVoltage;motorCurrent
668;31493;35446;2691;2678;0
689;31493;34145;2722;2687;0
709;31493;34342;2706;2681;0
729;31493;34671;2773;2675;0
749;31493;34775;2765;2681;0
770;31582;34698;2699;2683;0
81;0;24220;5;2675;7680
81;0;24220;7;2675;7680
81;0;24220;7;2683;7680
100;0;31640;2640;2581;164
120;0;30384;2703;2545;158
140;0;27763;2444;2523;163
160;31860;27389;2564;2534;132
181;31860;29055;2629;2524;168
201;31860;28923;2604;2534;152
221;31860;28683;2505;2542;119
241;31860;28496;3179;2547;126
262;31860;27944;2996;2550;137
282;32028;28149;2781;2543;114
302;32028;27537;2640;2539;158
322;32028;29242;2778;2564;143
343;32028;31549;2813;2540;131
363;32028;33305;2666;2539;131
383;32028;33385;2688;2540;143
403;31817;33295;2615;2542;122
424;31817;33624;2804;2543;131
444;31817;33009;3187;2535;154
464;31817;32122;2819;2551;132
484;31817;32595;3551;2552;132
505;31817;32131;2661;2538;130
525;31817;33674;2619;2544;130
545;31446;33549;2728;2547;119
565;31446;34848;2734;2562;109
586;31446;35304;2615;2568;100
606;31446;34676;3042;2539;100
626;31446;32991;2961;2579;93
646;31446;32582;3055;2552;107
667;31128;31756;2690;2555;97
687;31128;33453;2895;2559;104
707;31128;33823;1856;2557;95
727;31128;34316;2905;2559;114
748;31128;34575;2953;2558;81
768;31128;34125;2900;2537;86
788;30546;33973;2784;2560;112
808;30546;32763;2951;2532;91
829;30546;35372;2667;2533;98
849;30546;34120;2946;2551;93
869;30546;35305;2899;2537;99
889;30546;34743;1267;2548;95
910;30546;33366;2789;2519;103
930;29641;35991;1883;2531;91
950;29641;33375;3267;2542;89
970;29641;34557;2450;2527;84
991;29641;32958;2595;2535;90
1011;29641;35884;2963;2527;101
1031;29641;33649;3332;2543;71
1051;28747;33901;2461;2539;89
1072;28747;33234;2563;2535;80
1092;28747;35664;2648;2547;73
1112;28747;35562;2505;2550;92
1132;28747;35584;3657;2556;99
1153;28747;36671;2015;2542;86
1173;28019;33937;2150;2527;91
1193;28019;33325;2344;2527;75
1213;28019;34135;2715;2536;97
1234;28019;35735;2452;2551;102
1254;28019;36128;3225;2544;105
1274;28019;36075;3202;2556;61
1294;28019;34894;2375;2541;77
1315;27470;33499;2203;2528;62
1335;27470;32380;2455;2530;95
1355;27470;34244;2469;2541;92
1375;27470;34190;2300;2523;85
1396;27470;36529;2831;2526;105
1416;27470;35482;2983;2517;90
1436;27280;35451;2906;2534;75
1456;27280;34220;2639;2536;86
1477;27280;34816;2825;2545;83
1497;27280;34509;3135;2516;100
1517;27280;35093;2391;2524;90
1537;27280;37920;2755;2541;95
1558;27436;36301;2351;2535;88
1578;27436;33124;3047;2532;97
1598;27436;33373;2502;2543;77
1618;27436;33948;1714;2536;78
1639;27436;33376;3001;2523;91
1659;27436;34960;4012;2537;70
1679;27436;33809;3071;2544;79
1699;27689;34829;3786;2559;71
1720;27689;35138;2630;2538;88
1740;27689;35607;3600;2550;74
1760;27689;35234;2902;2536;95
1780;27689;36122;1495;2536;70
1801;27689;33217;2565;2535;83
1821;27975;34381;4087;2547;68
1841;27975;33774;2299;2543;92
1861;27975;35598;1977;2542;80
1882;27975;35817;2215;2542;105
1902;27975;35642;3912;2551;67
1922;27975;33949;3030;2528;72
1942;28190;33777;2873;2527;67
1963;28190;34023;2893;2535;84
1983;28190;35348;3395;2530;72
2003;28190;35913;2384;2521;89
2023;28190;36113;3888;2536;71
2044;28190;34952;2729;2543;80
2064;28190;34648;2671;2539;74
2084;28169;34630;2926;2531;78
2104;28169;33361;3798;2543;71
2125;28169;32854;2826;2531;84
2145;28169;33444;1964;2545;70
2165;28169;31703;2090;2543;74
2185;28169;30802;2003;2518;90
2206;27853;30529;2963;2518;77
2226;27853;30851;3357;2522;84
2246;27853;32837;2788;2534;68
2266;27853;33517;3694;2538;66
2287;27853;30592;2786;2532;76
2307;27853;29737;1962;2518;78
2327;27768;31883;3482;2518;95
2347;27768;31510;2769;2515;76
2368;27768;33736;3336;2500;77
2388;27768;32341;3140;2535;70
2408;27768;34062;2327;2525;69
2428;27768;32196;2844;2521;74
2449;27768;34175;2960;2534;58
2469;28709;33679;2159;2535;69
2489;28709;33496;2358;2529;55
2509;28709;33380;2664;2503;80
2530;28709;32360;3108;2517;58
2550;28709;36122;3678;2518;69
2570;28709;32352;2078;2478;63
2590;30331;33082;2542;2491;54
2611;30331;32730;3228;2539;44
2631;30331;32950;4061;2554;54
2651;30331;34351;2231;2552;56
2671;30331;32960;2135;2525;67
2692;30331;33924;2716;2499;63
2712;31615;33139;2014;2514;68
2732;31615;32340;2251;2527;63
2752;31615;36305;2867;2536;46
2773;31615;34475;2486;2523;57
2793;31615;32685;2169;2492;39
2813;31615;34872;2459;2509;41
2833;32134;32418;3373;2527;56
2854;32134;34926;2071;2541;47
2874;32134;36174;3099;2527;40
2894;32134;33610;2033;2517;44
2914;32134;34190;2796;2520;40
2935;32134;33973;3479;2508;51
2955;32134;34344;2531;2539;57
2975;32216;35771;2227;2530;39
2995;32216;35261;2047;2495;31
3016;32216;32869;3978;2510;41
3036;32216;34158;3257;2516;54
3056;32216;35785;2174;2510;28
3076;32216;34174;2477;2509;30
3097;32226;33317;2338;2519;41
3117;32226;36214;3711;2533;42
3137;32226;34667;1939;2527;35
3157;32226;33950;3407;2527;39
3178;32226;34579;2683;2527;44
3198;32226;33378;1831;2518;60
3218;32198;34620;2359;2548;60
3238;32198;36453;3107;2543;33
3259;32198;35518;1959;2524;32
3279;32198;32646;3211;2523;26
3299;32198;32533;4087;2525;30
3319;32198;36845;2434;2552;46
3340;32198;36532;3000;2546;29
3360;32181;33158;2038;2543;38
3380;32181;33821;2423;2541;28
3400;32181;37571;3336;2551;40
3421;32181;36305;2528;2532;27
3441;32181;34134;1913;2533;32
3461;32181;34161;3684;2548;27
3481;32263;37040;2977;2527;38
3502;32263;36443;2170;2526;20
3522;32263;33671;3479;2542;30
3542;32263;34724;3101;2542;60
3562;32263;37655;1988;2535;32
3583;32263;38111;3018;2558;17
3603;32435;36926;2109;2551;43
3623;32435;37121;2138;2542;26
3643;32435;38482;2351;2542;18
3664;32435;40927;1832;2542;26
3684;32435;38923;2266;2554;27
3704;32435;39553;2869;2553;34
3724;32435;39697;2915;2535;28
3745;32533;40196;2805;2559;26
3765;32533;40290;2178;2559;35
3785;32533;39843;3753;2556;28
3805;32533;39067;2724;2556;27
3826;32533;37451;3282;2557;42
3846;32533;37990;1878;2552;30
3866;34341;38406;2288;2542;33
3886;34341;38409;3806;2558;29
3907;34341;36835;3287;2529;41
3927;34341;36189;3979;2551;39
3947;34341;38936;3906;2575;26
3967;34341;38544;2457;2559;42
3988;38803;36071;2619;2551;40
4008;38803;36548;3919;2556;39
4028;38803;36709;3864;2560;26
4048;38803;37494;2796;2555;50
4069;38803;36037;2982;2507;44
4089;38803;35436;3511;2525;32
4109;38803;35999;3153;2549;34
4129;42330;38327;3918;2570;36
4150;42330;37705;1500;2559;60
4170;42330;35187;1603;2546;34
4190;42330;37511;1216;2548;28
4210;42330;37538;2937;2539;28
4231;42330;37029;4087;2554;41
4251;43183;38390;3354;2557;43
4271;43183;37261;2652;2539;28
4291;43183;38595;2960;2544;32
4312;43183;37889;3292;2566;38
4332;43183;39888;2467;2542;42
4352;43183;37070;2467;2514;24
4372;42793;36739;2820;2539;28
4393;42793;37169;3703;2548;47
4413;42793;39228;4022;2527;33
4433;42793;37312;2451;2538;27
4453;42793;35935;2260;2515;20
